social_housing_dwellings, ppl_who_did_not_complete_yr_12_perc, lga_name, lga_code, homeless_ppl_est_per_1000_pop, ppl_who_are_def_able_to_get_help_from_nbrs_perc, unemployment_rate_perc, drug_usage_and_possession_offences_per_1000_pop, rental_housing_that_is_affordable_perc, ppl_born_overseas_perc
98,60.3,Alpine (S),20110,3.5,66.7,4.4,3.6,69.6,15.7
155,64,Ararat (RC),20260,2.5,69.7,6.8,8.6,86.4,9.2
2445,52.6,Ballarat (C),20570,4.1,56.8,5.4,5.5,67.9,9.1
2336,37.6,Banyule (C),20660,3.7,62.4,4.8,3.7,4.4,23.1
399,60.7,Bass Coast (S),20740,1.8,60.9,6.2,6.6,71.2,15.8
477,60.2,Baw Baw (S),20830,2.2,64.2,4,7.3,63.7,10.9
1230,26.5,Bayside (C),20910,2.2,61.2,3.5,3,1.1,25.7
344,63.7,Benalla (RC),21010,2.2,68.5,7.2,3.9,84.7,8.4
812,19.1,Boroondara (C),21110,2.2,49.6,4.1,1.8,0.6,29.5
2075,45.3,Brimbank (C),21180,5.8,46,9.8,7.8,26.1,49.6
83,67.3,Buloke (S),21270,1.3,71.7,5.1,0.7,92.9,5.8
815,68.6,Campaspe (S),21370,1.4,65.7,5.6,3.9,68.4,6.7
406,55.7,Cardinia (S),21450,1.7,57.7,6.7,5,39.4,17.3
2169,47.6,Casey (C),21610,3.4,48.9,7.7,4.3,19.7,36.5
273,70.1,Central Goldfields (S),21670,3.6,61.4,9.7,5.1,97.5,8.9
360,63.9,Colac-Otway (S),21750,2.8,68.1,3.6,3.2,69,7.9
179,66.2,Corangamite (S),21830,2.1,67.7,2.4,2.8,90.3,7
3528,35.8,Darebin (C),21890,6.8,51.9,7.8,4.9,3.2,36
930,64.1,East Gippsland (S),22110,3.2,70.7,6.7,6.7,67.1,11.4
2103,52.7,Frankston (C),22170,3.6,50.8,7.6,7.8,18.4,23.1
163,73.1,Gannawarra (S),22250,1.7,75.2,4.6,4,94.3,5.3
788,25.4,Glen Eira (C),22310,2.7,50.3,4.5,2.7,2.3,36.8
379,67.4,Glenelg (S),22410,1.6,69.1,4.2,7.6,92,8.2
11,59.6,Golden Plains (S),22490,0.8,64.7,3.8,0.9,50,10.8
2401,56.7,Greater Bendigo (C),22620,3,57.2,7.2,4.8,66.4,7.3
2590,45,Greater Dandenong (C),22670,10.3,44.6,12,8.9,9.5,59.6
4426,52.8,Greater Geelong (C),22750,2.9,63.5,7.4,3.7,30.8,16.7
1584,61.9,Greater Shepparton (C),22830,5.7,63,6.9,7.4,70.6,14
163,54.2,Hepburn (S),22910,2.5,58.8,4.2,2.1,40.3,13.7
30,70.7,Hindmarsh (S),22980,0.6,72.3,5.4,3.9,95.8,7.1
1355,43.3,Hobsons Bay (C),23110,2.4,52.3,5.8,3.1,6.6,32.7
443,62,Horsham (RC),23190,3.7,73.4,4.7,11.3,68.1,6
2414,50.3,Hume (C),23270,4.7,45,8.8,6.1,23.8,34.2
129,57.9,Indigo (S),23350,1.5,73.5,4.7,1.4,73.8,8.7
