lga_name, lga_code, ppl_rated_their_cmty_good_vgood_for_cmty_and_sup_grps_perc, homeless_ppl_est_per_1000_pop, social_housing_as_a_perc_of_total_dwellings, unemployment_rate_perc, drug_usage_and_possession_offences_per_1000_pop, rental_housing_that_is_affordable_perc, family_violence_incidents_per_1000_pop
Alpine (S),20110,73.3,3.5,1.5,4.4,3.6,69.6,6.8
Ararat (RC),20260,69.9,2.5,3.1,6.8,8.6,86.4,19.8
Ballarat (C),20570,73.1,4.1,6.3,5.4,5.5,67.9,16.3
Banyule (C),20660,61,3.7,5,4.8,3.7,4.4,10.7
Bass Coast (S),20740,62.1,1.8,1.7,6.2,6.6,71.2,18.4
Baw Baw (S),20830,65.2,2.2,2.6,4,7.3,63.7,15.4
Bayside (C),20910,73.8,2.2,3.4,3.5,3,1.1,6.2
Benalla (RC),21010,65.9,2.2,5.3,7.2,3.9,84.7,21.3
Boroondara (C),21110,73.2,2.2,1.3,4.1,1.8,0.6,3.9
Brimbank (C),21180,40.4,5.8,3.3,9.8,7.8,26.1,13.2
Buloke (S),21270,60.4,1.3,2.6,5.1,0.7,92.9,10
Campaspe (S),21370,73.8,1.4,5.2,5.6,3.9,68.4,15.1
Cardinia (S),21450,55.5,1.7,1.5,6.7,5,39.4,16.3
Casey (C),21610,55,3.4,2.5,7.7,4.3,19.7,13.5
Central Goldfields (S),21670,76.2,3.6,4.4,9.7,5.1,97.5,21.9
Colac-Otway (S),21750,76.8,2.8,3.3,3.6,3.2,69,14.5
Corangamite (S),21830,73.8,2.1,2.4,2.4,2.8,90.3,8.5
Darebin (C),21890,53.3,6.8,6.3,7.8,4.9,3.2,10.7
East Gippsland (S),22110,68.7,3.2,4.3,6.7,6.7,67.1,23.3
Frankston (C),22170,64,3.6,4.1,7.6,7.8,18.4,18.7
Gannawarra (S),22250,77.8,1.7,3.3,4.6,4,94.3,15.7
Glen Eira (C),22310,58.5,2.7,1.5,4.5,2.7,2.3,5.9
Glenelg (S),22410,72.2,1.6,4.1,4.2,7.6,92,16.5
Golden Plains (S),22490,55.2,0.8,0.2,3.8,0.9,50,6.3
Greater Bendigo (C),22620,67.6,3,5.7,7.2,4.8,66.4,15.2
Greater Dandenong (C),22670,46.3,10.3,5.3,12,8.9,9.5,14
Greater Geelong (C),22750,60.7,2.9,4.8,7.4,3.7,30.8,14.1
Greater Shepparton (C),22830,71.5,5.7,6.5,6.9,7.4,70.6,22.6
Hepburn (S),22910,65.1,2.5,2.1,4.2,2.1,40.3,10.2
Hindmarsh (S),22980,63.1,0.6,1,5.4,3.9,95.8,11.3
Hobsons Bay (C),23110,62.2,2.4,4,5.8,3.1,6.6,11.5
Horsham (RC),23190,79.5,3.7,5.2,4.7,11.3,68.1,27.6
Hume (C),23270,47.5,4.7,4.3,8.8,6.1,23.8,16.1
Indigo (S),23350,68.6,1.5,2,4.7,1.4,73.8,7.4
Kingston (C),23430,61,2.4,2.6,5.9,4.9,1.6,9.2
Knox (C),23670,61.6,1.6,2.6,5,4.6,4.3,10.6
Latrobe (C),23810,64.5,2.4,6.9,7.8,11.9,79.3,32.5
Loddon (S),23940,56.2,3.9,2,7.3,3.3,100,10.6
Macedon Ranges (S),24130,60.4,1.8,1.9,3.3,5,17.3,8.3
Manningham (C),24210,69.8,1.7,0.8,6.2,1.7,2.1,6
Mansfield (S),24250,81.3,3,1.4,3.7,2.4,36.7,10.7
Maribyrnong (C),24330,60.4,8.9,8.6,7.3,7.2,4.1,10.4
Maroondah (C),24410,64.5,3.9,3.3,5.6,3.9,4.1,9
Melbourne (C),24600,59.1,10.6,6.5,4.7,17.5,0.8,10.6
Melton (C),24650,54.5,2.1,1.8,7.6,4.6,48.4,15.3
Mildura (RC),24780,73.4,4.9,6,8.3,7.4,72.9,30.9
Mitchell (S),24850,56.9,2.9,3.8,7.8,5,63.4,20.1
Moira (S),24900,66,2.7,3.4,5.8,5.4,79.5,11.8
Monash (C),24970,59,4.7,2.8,3.7,2.9,2.6,7
Moonee Valley (C),25060,65.8,3.5,8.9,5.5,6.7,2.6,8.9
Moorabool (S),25150,60.9,2.5,3.5,5.8,3.2,60.5,13.2
Moreland (C),25250,54.5,4.9,3.7,7.2,3.2,1.8,10.7
Mornington Peninsula (S),25340,67.4,1.8,1.8,5.4,4.4,18.5,12.7
Mount Alexander (S),25430,72.3,2.4,2.9,6.5,4.8,42.1,9.4
Moyne (S),25490,64,0.3,1.2,2,5.4,57.9,6.2
Murrindindi (S),25620,60.3,2.4,1.3,5.1,1,75.4,10.1
Nillumbik (S),25710,72.8,1.2,0.7,2.7,1.5,24.6,6.5
Northern Grampians (S),25810,71.6,3,3.7,5.9,8,100,15.9
Port Phillip (C),25900,60.1,15.3,8.5,4.9,8.2,0.5,9.6
Pyrenees (S),25990,59.7,1.5,0.6,5.4,3.4,92.3,7.3
Queenscliffe (B),26080,84.8,1.2,0.4,3.5,0.3,25,0.7
South Gippsland (S),26170,66.1,2.4,1.5,3.8,2.5,83.7,12.8
Southern Grampians (S),26260,75.8,2,3.4,3.5,3.1,88,16
Stonnington (C),26350,62.1,5.1,4.2,3.8,5.4,0.6,6.1
Strathbogie (S),26430,69.9,1.7,1.7,5.3,1.9,66,9.8
Surf Coast (S),26490,70.2,0.6,0.5,3.4,2.1,13.1,7.2
Swan Hill (RC),26610,58.2,7.9,7.3,5.4,9.5,77.4,28.9
Towong (S),26670,63.4,1.7,0.9,6,0.7,84,6.6
Wangaratta (RC),26700,79.6,4,5.2,6.4,10.1,79,15.9
Warrnambool (C),26730,82.9,3.6,7.1,3.3,8.1,49.7,18.9
Wellington (S),26810,70.2,2.9,3.4,5.2,5.6,57.5,18.9
West Wimmera (S),26890,67,1.2,0.7,3.9,2.8,100,5.8
Whitehorse (C),26980,69.7,4.6,2.6,6.3,2.3,2.5,6.5
Whittlesea (C),27070,47.8,2.6,1.9,7.9,4.4,19,14.9
Wodonga (RC),27170,75.7,4.5,9.2,7.6,3.5,59.4,22.8
Wyndham (C),27260,54.1,2.2,1.7,7,2.7,43.6,13
Yarra (C),27350,63.9,10,16.7,7.2,11.1,0.9,9.9
Yarra Ranges (S),27450,63.6,2.3,1.4,5.4,3.3,8.9,9.6
Yarriambiack (S),27630,62.2,0.4,1.7,5.8,2.6,100,16.4
