tpop_2015, lga_name, lga_code
11997,Alpine (S),20110
11236,Ararat (RC),20260
102260,Ballarat (C),20570
126578,Banyule (C),20660
32564,Bass Coast (S),20740
47100,Baw Baw (S),20830
100769,Bayside (C),20910
13652,Benalla (RC),21010
175481,Boroondara (C),21110
198951,Brimbank (C),21180
6021,Buloke (S),21270
36896,Campaspe (S),21370
91032,Cardinia (S),21450
291875,Casey (C),21610
12657,Central Goldfields (S),21670
20577,Colac-Otway (S),21750
15972,Corangamite (S),21830
150604,Darebin (C),21890
44135,East Gippsland (S),22110
136486,Frankston (C),22170
9949,Gannawarra (S),22250
146532,Glen Eira (C),22310
19310,Glenelg (S),22410
21113,Golden Plains (S),22490
108670,Greater Bendigo (C),22620
152736,Greater Dandenong (C),22670
227997,Greater Geelong (C),22750
63997,Greater Shepparton (C),22830
15024,Hepburn (S),22910
5551,Hindmarsh (S),22980
92170,Hobsons Bay (C),23110
19772,Horsham (RC),23190
193735,Hume (C),23270
15475,Indigo (S),23350
154368,Kingston (C),23430
156842,Knox (C),23670
73690,Latrobe (C),23810
7386,Loddon (S),23940
45497,Macedon Ranges (S),24130
119749,Manningham (C),24210
8297,Mansfield (S),24250
83752,Maribyrnong (C),24330
112228,Maroondah (C),24410
129746,Melbourne (C),24600
131492,Melton (C),24650
53314,Mildura (RC),24780
39581,Mitchell (S),24850
28977,Moira (S),24900
187099,Monash (C),24970
119328,Moonee Valley (C),25060
31582,Moorabool (S),25150
166559,Moreland (C),25250
155841,Mornington Peninsula (S),25340
18220,Mount Alexander (S),25430
16416,Moyne (S),25490
13646,Murrindindi (S),25620
62917,Nillumbik (S),25710
11677,Northern Grampians (S),25810
106730,Port Phillip (C),25900
6938,Pyrenees (S),25990
3036,Queenscliffe (B),26080
15885,Southern Grampians (S),26260
27984,South Gippsland (S),26170
109903,Stonnington (C),26350
9871,Strathbogie (S),26430
28880,Surf Coast (S),26490
20612,Swan Hill (RC),26610
5766,Towong (S),26670
779,Unincorporated Vic,29399
27255,Wangaratta (RC),26700
33626,Warrnambool (C),26730
42292,Wellington (S),26810
3969,West Wimmera (S),26890
166018,Whitehorse (C),26980
193783,Whittlesea (C),27070
38773,Wodonga (RC),27170
209768,Wyndham (C),27260
89316,Yarra (C),27350
150539,Yarra Ranges (S),27450
6776,Yarriambiack (S),27630
